date,source,pos,proportion
2008-09-04,gwb,DET,0.0681560780929781
2008-09-04,gwb,SYM,0.0386824506525725
2008-09-04,gwb,X,0
2008-09-04,gwb,NUM,0.0582191780821918
2008-09-04,gwb,CCONJ,0.0689650523136663
2008-09-04,gwb,PUNCT,0.0690189839283788
2008-09-04,gwb,INTJ,0.0111233955344623
2008-09-04,gwb,ADJ,0.0684931506849315
2008-09-04,gwb,PART,0.0680077661525186
2008-09-04,gwb,AUX,0.0685470822996441
2008-09-04,gwb,NOUN,0.0688302232768849
2008-09-04,gwb,PRON,0.06893808650631
2008-09-04,gwb,VERB,0.0689920181210225
2008-09-04,gwb,PROPN,0.0690055010247007
2008-09-04,gwb,ADP,0.0687628087584942
2008-09-04,gwb,SCONJ,0.0675223816201057
2008-09-04,gwb,ADV,0.068735842951138
2006-01-31,gwb,DET,0.0679164512211253
2006-01-31,gwb,SYM,0.0482678178473082
2006-01-31,gwb,X,0
2006-01-31,gwb,NUM,0.0676398792703311
2006-01-31,gwb,CCONJ,0.0682050480393454
2006-01-31,gwb,PUNCT,0.0682651723764745
2006-01-31,gwb,INTJ,0
2006-01-31,gwb,ADJ,0.0680006252931061
2006-01-31,gwb,PART,0.0666057406717091
2006-01-31,gwb,AUX,0.0682170729067712
2006-01-31,gwb,NOUN,0.0681449237022162
2006-01-31,gwb,PRON,0.0681809983044937
2006-01-31,gwb,VERB,0.0682411226416229
2006-01-31,gwb,PROPN,0.0682531475090487
2006-01-31,gwb,ADP,0.0681328988347903
2006-01-31,gwb,SCONJ,0.0680607496302353
2006-01-31,gwb,ADV,0.0678683517514219
2008-01-28,gwb,DET,0.0671096624078985
2008-01-28,gwb,SYM,0.0622674534382828
2008-01-28,gwb,X,0
2008-01-28,gwb,NUM,0.0653174162308329
2008-01-28,gwb,CCONJ,0.0670782194925113
2008-01-28,gwb,PUNCT,0.067266876984834
2008-01-28,gwb,INTJ,0
2008-01-28,gwb,ADJ,0.0669629288027586
2008-01-28,gwb,PART,0.0671830292104684
2008-01-28,gwb,AUX,0.0669419668591672
2008-01-28,gwb,NOUN,0.0672144721258555
2008-01-28,gwb,PRON,0.0672039911540598
2008-01-28,gwb,VERB,0.0672459150412426
2008-01-28,gwb,PROPN,0.0672563960130383
2008-01-28,gwb,ADP,0.0670991814361028
