date,title,url,beg,end,approval,disapproval,no opinon
2009-01-24,First Presidential Weekly Speech,Data/barackobamaweekly1.txt,2009-01-21,2009-01-25,67.0,13.0,22.0
2009-01-26,Al-Arabiya Television Interview,Data/barackobamaal-arabiya.txt,2009-01-26,2009-02-01,66.0,18.0,17.0
2009-02-04,Executive Compensation Salary Cap Speech,Data/barackobamaexecutivecompensation.txt,2009-02-02,2009-02-08,65.0,21.0,15.0
2009-02-09,First Prime Time Press Conference,Data/barackobamafirstprimetimepressconference.txt,2009-02-09,2009-02-15,64.0,22.0,14.0
2009-02-12,Abraham Lincoln D.C. Bicentennial Celebration Speech,Data/barackobamalincolnbicentennialspeech.txt,2009-02-09,2009-02-15,64.0,22.0,14.0
2009-02-12,Lincoln Association 102nd Birthday Banquet Speech,Data/barackobamalincolnbirthdaybanquet.txt,2009-02-09,2009-02-15,64.0,22.0,14.0
2009-02-24,State of the Nation Address to Congress Speech,Data/barackobamajointsession2009.txt,2009-02-23,2009-03-01,64.0,23.0,13.0
2009-02-27,Ending the Iraq War at Camp Lejeune Speech,Data/barackobamacamplejeune2009.txt,2009-02-23,2009-03-01,64.0,23.0,13.0
2009-03-10,Speech to Hispanic Chamber of Commerce,Data/barackobamahispanicchamberofcommerce.txt,2009-03-09,2009-03-15,62.0,28.0,11.0
2009-04-02,G-20 London Economic Summit Press Conference,Data/barackobamag20summitpressconference.txt,2009-03-30,2009-04-05,62.0,28.0,10.0
2009-04-03,Speech at Strasbourg Town Hall,Data/barackobamastrasbourgspeech.txt,2009-03-30,2009-04-05,62.0,28.0,10.0
2009-04-05,Speech at Hradcany Square in Prague,Data/barackobamapraguespeech.txt,2009-03-30,2009-04-05,62.0,28.0,10.0
2009-04-06,Speech to the Turkish Parliament,Data/barackobamaturkishparliament.txt,2009-04-06,2009-04-12,61.0,28.0,11.0
2009-04-14,A New Foundation Speech at Georgetown,Data/barackobamaeconomicvisiongeorgetown.txt,2009-04-13,2009-04-19,62.0,29.0,9.0
2009-04-20,First Address at the Central Intelligence Agency,Data/barackobamaCIAfirstvisit.txt,2009-04-20,2009-04-26,65.0,29.0,6.0
2009-04-23,Holocaust Days of Remembrance Ceremony Speech,Data/barackobamaholocaustdaysofremembrance.txt,2009-04-20,2009-04-26,65.0,29.0,6.0
2009-05-09,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2009.txt,2009-05-04,2009-05-10,66.0,27.0,7.0
2009-05-14,Arizona State University Commencement Address,Data/barackobamaarizonastateuniversitycommencement.txt,2009-05-11,2009-05-17,64.0,29.0,8.0
