date,title,url
2002-10-02,Federal Plaza Address Opposing the War in Iraq,./Data/barackobamairaqwarspeechfederalplaza.txt
2005-01-06,Senate Speech on Ohio Electoral Vote,./Data/barackobamasenatespeechonohioelectoralvotes.txt
2005-10-25,Senate Speech Honoring the Life of Rosa Parks,./Data/barackobamasenatespeechrosaparks.txt
2005-12-15,Senate Speech on the PATRIOT Act,./Data/barackobamasenatefloorspeechpatriotact.txt
2006-01-31,Senate Speech Honoring the Life of Coretta Scott King,./Data/barackobamasenatespeechoncorettascottkingpassing.txt
2006-07-20,Senate Speech on Voting Rights Act Renewal,./Data/barackobamasenatespeechonvotingrightsactrenewal.txt
2007-03-04,Brown Chapel Speech,./Data/barackobamabrownchapel.txt
2007-03-13,Senate Speech on Iraq Federalism Amendment,./Data/barackobamasenatespeechiraqfederalismamendment.txt
2007-03-21,Senate Speech on Iraq War After 4 Years,./Data/barackobamasenatefloorspeechoniraqwar4years.txt
2007-05-23,Senate Speech on Comprehensive Immigration Reform,./Data/barackobamasenatefloorimmigration.txt
2007-11-10,Speech at the Jefferson-Jackson Dinner,./Data/barackobamajeffersonjacksondinner.txt
2008-01-03,Iowa Caucus Victory Speech,./Data/barackobamaiowavictoryspeech.txt
2008-01-08,New Hampshire Primary Concession Speech,./Data/barackobamanewhampshireconcessionspeech.txt
2008-01-20,Ebenezer Baptist Church Speech,./Data/barackobamaebenezerbaptist.txt
2008-01-26,South Carolina Primary Victory Speech,./Data/barackobamasouthcarolinavictory.txt
2008-07-15,Policy Speech on Iraq at the Woodrow Wilson Center,./Data/barackobamairaqwarreaganbuilding.txt
2008-10-01,Senate Speech on Wall Street Bailout Bill,./Data/barackobamasenatespeechonbailoutbill.txt
2008-11-07,First President-Elect Press Conference,./Data/barackobamafirstpressconference.txt
2008-11-18,Global Climate Summit Prerecorded Speech,./Data/barackobamaglobalclimatesummit.txt
2008-11-24,Economic Team Announcement Speech,./Data/barackobamaeconomicteamannouncement.txt
2008-11-25,Management and Budget Office Announcement,./Data/barackobamamanagementandbudgetoffice.txt
2008-11-26,Economic Recovery Advisory Board Announcement,./Data/barackobamaeconomicrecoveryadvisoryboard.txt
2008-12-01,Security Team Announcement Speech,./Data/barackobamasecurityteamannouncement.txt
2008-12-03,Commerce Secretary Announcement,./Data/barackobamasecretarycommerce.txt
2009-01-05,Remarks After Meeting with Economic Team,./Data/barackobamapresseconomicrecoverypressconference.txt
2009-01-08,George Mason University Speech,./Data/barackobamageorgemason.txt
2009-01-09,Intelligence Community Leadership Team,./Data/barackobamamintelligenceteam.txt
2009-01-18,Lincoln Memorial Pre-Inauguration Speech,./Data/barackobamapreinaugurallincolnmemorial.txt
