date,source,emotion,emoValue
2008-06-04,oba,fear,0.0957983193277311
2008-06-04,oba,anger,0.05546218487394958
2008-06-04,oba,trust,0.15966386554621848
2008-06-04,oba,surprise,0.04873949579831933
2008-06-04,oba,positive,0.23361344537815126
2008-06-04,oba,negative,0.11596638655462185
2008-06-04,oba,sadness,0.04201680672268908
2008-06-04,oba,disgust,0.023529411764705882
2008-06-04,oba,joy,0.0957983193277311
2008-06-04,oba,anticipation,0.12941176470588237
2008-06-04,nyt,fear,0.06302521008403361
2008-06-04,nyt,anger,0.058823529411764705
2008-06-04,nyt,trust,0.13025210084033614
2008-06-04,nyt,surprise,0.046218487394957986
2008-06-04,nyt,positive,0.2815126050420168
2008-06-04,nyt,negative,0.13025210084033614
2008-06-04,nyt,sadness,0.07563025210084033
2008-06-04,nyt,disgust,0.012605042016806723
2008-06-04,nyt,joy,0.07983193277310924
2008-06-04,nyt,anticipation,0.12184873949579832
2008-06-04,wsj,fear,0.05128205128205128
2008-06-04,wsj,anger,0.03663003663003663
2008-06-04,wsj,trust,0.1684981684981685
2008-06-04,wsj,surprise,0.047619047619047616
2008-06-04,wsj,positive,0.326007326007326
2008-06-04,wsj,negative,0.09523809523809523
2008-06-04,wsj,sadness,0.054945054945054944
2008-06-04,wsj,disgust,0.02564102564102564
2008-06-04,wsj,joy,0.10622710622710622
2008-06-04,wsj,anticipation,0.08791208791208792
2008-11-05,oba,fear,0.06
2008-11-05,oba,anger,0.03777777777777778
2008-11-05,oba,trust,0.16
2008-11-05,oba,surprise,0.04666666666666667
2008-11-05,oba,positive,0.23333333333333334
2008-11-05,oba,negative,0.11555555555555555
2008-11-05,oba,sadness,0.06222222222222222
2008-11-05,oba,disgust,0.013333333333333334
2008-11-05,oba,joy,0.11777777777777777
2008-11-05,oba,anticipation,0.15333333333333332
2008-11-05,nyt,fear,0.07006369426751592
2008-11-05,nyt,anger,0.0732484076433121
2008-11-05,nyt,trust,0.11464968152866242
2008-11-05,nyt,surprise,0.041401273885350316
2008-11-05,nyt,positive,0.2484076433121019
2008-11-05,nyt,negative,0.13694267515923567
2008-11-05,nyt,sadness,0.07961783439490445
2008-11-05,nyt,disgust,0.041401273885350316
2008-11-05,nyt,joy,0.08598726114649681
2008-11-05,nyt,anticipation,0.10828025477707007
2008-11-05,wsj,fear,0.07911392405063292
2008-11-05,wsj,anger,0.06329113924050633
2008-11-05,wsj,trust,0.17563291139240506
2008-11-05,wsj,surprise,0.0490506329113924
2008-11-05,wsj,positive,0.21677215189873417
2008-11-05,wsj,negative,0.14082278481012658
2008-11-05,wsj,sadness,0.0680379746835443
2008-11-05,wsj,disgust,0.030063291139240507
2008-11-05,wsj,joy,0.07120253164556962
2008-11-05,wsj,anticipation,0.1060126582278481
2009-01-05,oba,fear,0.0845771144278607
2009-01-05,oba,anger,0.04477611940298507
2009-01-05,oba,trust,0.14427860696517414
2009-01-05,oba,surprise,0.03980099502487562
2009-01-05,oba,positive,0.21393034825870647
2009-01-05,oba,negative,0.14925373134328357
2009-01-05,oba,sadness,0.0945273631840796
2009-01-05,oba,disgust,0.024875621890547265
2009-01-05,oba,joy,0.05970149253731343
2009-01-05,oba,anticipation,0.14427860696517414
2009-01-05,nyt,fear,0.043795620437956206
2009-01-05,nyt,anger,0.0364963503649635
2009-01-05,nyt,trust,0.16058394160583941
2009-01-05,nyt,surprise,0.029197080291970802
2009-01-05,nyt,positive,0.25547445255474455
2009-01-05,nyt,negative,0.14963503649635038
2009-01-05,nyt,sadness,0.09854014598540146
2009-01-05,nyt,disgust,0.025547445255474453
2009-01-05,nyt,joy,0.058394160583941604
2009-01-05,nyt,anticipation,0.14233576642335766
2009-01-05,wsj,fear,0.019083969465648856
2009-01-05,wsj,anger,0.04198473282442748
2009-01-05,wsj,trust,0.15648854961832062
2009-01-05,wsj,surprise,0.05725190839694656
2009-01-05,wsj,positive,0.24045801526717558
2009-01-05,wsj,negative,0.1450381679389313
2009-01-05,wsj,sadness,0.10687022900763359
2009-01-05,wsj,disgust,0.003816793893129771
2009-01-05,wsj,joy,0.09923664122137404
2009-01-05,wsj,anticipation,0.1297709923664122
2009-01-20,oba,fear,0.08279430789133248
2009-01-20,oba,anger,0.059508408796895215
2009-01-20,oba,trust,0.1500646830530401
2009-01-20,oba,surprise,0.040103492884864166
2009-01-20,oba,positive,0.258732212160414
2009-01-20,oba,negative,0.12548512289780078
2009-01-20,oba,sadness,0.054333764553686936
2009-01-20,oba,disgust,0.03363518758085381
2009-01-20,oba,joy,0.09314359637774904
2009-01-20,oba,anticipation,0.10219922380336352
2009-01-20,nyt,fear,0.11802575107296137
2009-01-20,nyt,anger,0.055793991416309016
2009-01-20,nyt,trust,0.15450643776824036
2009-01-20,nyt,surprise,0.03862660944206009
2009-01-20,nyt,positive,0.2167381974248927
2009-01-20,nyt,negative,0.1459227467811159
2009-01-20,nyt,sadness,0.07939914163090128
2009-01-20,nyt,disgust,0.034334763948497854
2009-01-20,nyt,joy,0.06437768240343347
2009-01-20,nyt,anticipation,0.09227467811158799
2009-01-20,wsj,fear,0.10094637223974763
2009-01-20,wsj,anger,0.0914826498422713
2009-01-20,wsj,trust,0.1608832807570978
2009-01-20,wsj,surprise,0.028391167192429023
2009-01-20,wsj,positive,0.2113564668769716
2009-01-20,wsj,negative,0.138801261829653
2009-01-20,wsj,sadness,0.06309148264984227
2009-01-20,wsj,disgust,0.04100946372239748
2009-01-20,wsj,joy,0.06309148264984227
2009-01-20,wsj,anticipation,0.10094637223974763
2009-04-02,oba,fear,0.09556313993174062
2009-04-02,oba,anger,0.05460750853242321
2009-04-02,oba,trust,0.14334470989761092
2009-04-02,oba,surprise,0.03754266211604096
2009-04-02,oba,positive,0.30716723549488056
2009-04-02,oba,negative,0.13310580204778158
2009-04-02,oba,sadness,0.06484641638225255
2009-04-02,oba,disgust,0.023890784982935155
2009-04-02,oba,joy,0.06825938566552901
2009-04-02,oba,anticipation,0.07167235494880546
2009-04-02,nyt,fear,0.06060606060606061
2009-04-02,nyt,anger,0.07878787878787878
2009-04-02,nyt,trust,0.15757575757575756
2009-04-02,nyt,surprise,0.04242424242424243
2009-04-02,nyt,positive,0.21212121212121213
2009-04-02,nyt,negative,0.18181818181818182
2009-04-02,nyt,sadness,0.09090909090909091
2009-04-02,nyt,disgust,0.04242424242424243
2009-04-02,nyt,joy,0.03636363636363636
2009-04-02,nyt,anticipation,0.09696969696969697
2009-04-02,wsj,fear,0.0892018779342723
2009-04-02,wsj,anger,0.051643192488262914
2009-04-02,wsj,trust,0.19718309859154928
2009-04-02,wsj,surprise,0.028169014084507043
2009-04-02,wsj,positive,0.24413145539906103
2009-04-02,wsj,negative,0.18309859154929578
2009-04-02,wsj,sadness,0.046948356807511735
2009-04-02,wsj,disgust,0.023474178403755867
2009-04-02,wsj,joy,0.046948356807511735
2009-04-02,wsj,anticipation,0.0892018779342723
2009-04-15,oba,fear,0.07896440129449839
2009-04-15,oba,anger,0.06407766990291262
2009-04-15,oba,trust,0.16116504854368932
2009-04-15,oba,surprise,0.03495145631067961
2009-04-15,oba,positive,0.24401294498381876
2009-04-15,oba,negative,0.14757281553398058
2009-04-15,oba,sadness,0.06019417475728155
2009-04-15,oba,disgust,0.036245954692556634
2009-04-15,oba,joy,0.07249190938511327
2009-04-15,oba,anticipation,0.10032362459546926
2009-04-15,nyt,fear,0.11587982832618025
2009-04-15,nyt,anger,0.07296137339055794
2009-04-15,nyt,trust,0.18025751072961374
2009-04-15,nyt,surprise,0.03862660944206009
2009-04-15,nyt,positive,0.21030042918454936
2009-04-15,nyt,negative,0.16738197424892703
2009-04-15,nyt,sadness,0.060085836909871244
2009-04-15,nyt,disgust,0.04291845493562232
2009-04-15,nyt,joy,0.030042918454935622
2009-04-15,nyt,anticipation,0.0815450643776824
2009-04-15,wsj,fear,0.07446808510638298
2009-04-15,wsj,anger,0.03723404255319149
2009-04-15,wsj,trust,0.20212765957446807
2009-04-15,wsj,surprise,0.05319148936170213
2009-04-15,wsj,positive,0.2712765957446808
2009-04-15,wsj,negative,0.09042553191489362
2009-04-15,wsj,sadness,0.06914893617021277
2009-04-15,wsj,disgust,0.031914893617021274
2009-04-15,wsj,joy,0.05851063829787234
2009-04-15,wsj,anticipation,0.11170212765957446
2009-05-22,oba,fear,0.13213811420982735
2009-05-22,oba,anger,0.08167330677290836
2009-05-22,oba,trust,0.15205843293492696
2009-05-22,oba,surprise,0.031208499335989376
2009-05-22,oba,positive,0.20916334661354583
2009-05-22,oba,negative,0.1752988047808765
2009-05-22,oba,sadness,0.06042496679946879
2009-05-22,oba,disgust,0.033200531208499334
2009-05-22,oba,joy,0.04714475431606906
2009-05-22,oba,anticipation,0.07768924302788845
2009-05-22,nyt,fear,0.13257575757575757
2009-05-22,nyt,anger,0.09848484848484848
