,date,source,pos,proportion
0,2008-06-04,oba,PRON,0.06459664953837156
1,2008-06-04,oba,NUM,0.058727075239169486
2,2008-06-04,oba,DET,0.06463842586790325
3,2008-06-04,oba,VERB,0.06462798178552033
4,2008-06-04,oba,AUX,0.06439821197309605
5,2008-06-04,oba,PUNCT,0.06469064627981785
6,2008-06-04,oba,CCONJ,0.0644713205497765
7,2008-06-04,oba,INTJ,0.054967205581317624
8,2008-06-04,oba,NOUN,0.06450265279692526
9,2008-06-04,oba,ADP,0.06466975811505202
10,2008-06-04,oba,ADJ,0.06464886995028617
11,2008-06-04,oba,PROPN,0.06468020219743494
12,2008-06-04,oba,SCONJ,0.0643773238083302
13,2008-06-04,oba,PART,0.06431465931403267
14,2008-06-04,oba,SYM,0.0
15,2008-06-04,oba,ADV,0.06443998830262773
16,2008-06-04,nyt,PRON,0.06512975560594608
17,2008-06-04,nyt,NUM,0.06504577139497775
18,2008-06-04,nyt,DET,0.06340807928109515
19,2008-06-04,nyt,VERB,0.06470983455110439
20,2008-06-04,nyt,AUX,0.06496178718400941
21,2008-06-04,nyt,PUNCT,0.06517174771143025
22,2008-06-04,nyt,CCONJ,0.0644158898127152
23,2008-06-04,nyt,INTJ,0.05559754766103973
24,2008-06-04,nyt,NOUN,0.06491979507852523
25,2008-06-04,nyt,ADP,0.06508776350046191
26,2008-06-04,nyt,ADJ,0.06445788191819937
27,2008-06-04,nyt,PROPN,0.06466784244562022
28,2008-06-04,nyt,SCONJ,0.06160241874527589
29,2008-06-04,nyt,PART,0.06500377928949358
30,2008-06-04,nyt,SYM,0.04341983707063072
31,2008-06-04,nyt,ADV,0.0624002687494751
32,2008-06-04,wsj,PRON,0.071938145151648
33,2008-06-04,wsj,NUM,0.0654019369495038
34,2008-06-04,wsj,DET,0.07217727472001913
35,2008-06-04,wsj,VERB,0.07249611414451397
36,2008-06-04,wsj,AUX,0.07157945079909131
37,2008-06-04,wsj,PUNCT,0.07265553385676139
38,2008-06-04,wsj,CCONJ,0.07245625921645212
39,2008-06-04,wsj,INTJ,0.0
40,2008-06-04,wsj,NOUN,0.07261567892869954
41,2008-06-04,wsj,ADP,0.07130046630265832
42,2008-06-04,wsj,ADJ,0.07253596907257583
43,2008-06-04,wsj,PROPN,0.07221712964808098
44,2008-06-04,wsj,SCONJ,0.0703439480291738
45,2008-06-04,wsj,PART,0.07209756486389542
46,2008-06-04,wsj,SYM,0.0
47,2008-06-04,wsj,ADV,0.07018452831692638
48,2008-11-05,oba,PRON,0.06708799222168206
49,2008-11-05,oba,NUM,0.065543767336784
50,2008-11-05,oba,DET,0.06725957276444851
51,2008-11-05,oba,VERB,0.06723097600732077
52,2008-11-05,oba,AUX,0.06717378249306528
