date,source,emotion,emoValue
2001-01-20,gwb,fear,0.0710172744721689
2001-01-20,gwb,anger,0.044145873320537425
2001-01-20,gwb,trust,0.1785028790786948
2001-01-20,gwb,surprise,0.036468330134357005
2001-01-20,gwb,positive,0.2840690978886756
2001-01-20,gwb,negative,0.10748560460652591
2001-01-20,gwb,sadness,0.04030710172744722
2001-01-20,gwb,disgust,0.02111324376199616
2001-01-20,gwb,joy,0.11324376199616124
2001-01-20,gwb,anticipation,0.1036468330134357
2001-01-22,gwb,fear,0.024390243902439025
2001-01-22,gwb,anger,0.0
2001-01-22,gwb,trust,0.1951219512195122
2001-01-22,gwb,surprise,0.06097560975609756
2001-01-22,gwb,positive,0.32926829268292684
2001-01-22,gwb,negative,0.07317073170731707
2001-01-22,gwb,sadness,0.024390243902439025
2001-01-22,gwb,disgust,0.0
2001-01-22,gwb,joy,0.17073170731707318
2001-01-22,gwb,anticipation,0.12195121951219512
2001-01-29,gwb,fear,0.06944444444444445
2001-01-29,gwb,anger,0.041666666666666664
2001-01-29,gwb,trust,0.2037037037037037
2001-01-29,gwb,surprise,0.046296296296296294
2001-01-29,gwb,positive,0.3287037037037037
2001-01-29,gwb,negative,0.08796296296296297
2001-01-29,gwb,sadness,0.032407407407407406
2001-01-29,gwb,disgust,0.004629629629629629
2001-01-29,gwb,joy,0.09259259259259259
2001-01-29,gwb,anticipation,0.09259259259259259
2001-02-16,gwb,fear,0.05365853658536585
2001-02-16,gwb,anger,0.03414634146341464
2001-02-16,gwb,trust,0.23414634146341465
2001-02-16,gwb,surprise,0.024390243902439025
2001-02-16,gwb,positive,0.36585365853658536
2001-02-16,gwb,negative,0.06341463414634146
2001-02-16,gwb,sadness,0.014634146341463415
2001-02-16,gwb,disgust,0.004878048780487805
2001-02-16,gwb,joy,0.09268292682926829
2001-02-16,gwb,anticipation,0.11219512195121951
2001-03-29,gwb,fear,0.10569105691056911
2001-03-29,gwb,anger,0.0975609756097561
2001-03-29,gwb,trust,0.17886178861788618
2001-03-29,gwb,surprise,0.016260162601626018
2001-03-29,gwb,positive,0.2601626016260163
2001-03-29,gwb,negative,0.13008130081300814
2001-03-29,gwb,sadness,0.08130081300813008
2001-03-29,gwb,disgust,0.016260162601626018
2001-03-29,gwb,joy,0.056910569105691054
2001-03-29,gwb,anticipation,0.056910569105691054
2001-06-07,gwb,fear,0.020905923344947737
2001-06-07,gwb,anger,0.03484320557491289
2001-06-07,gwb,trust,0.17073170731707318
2001-06-07,gwb,surprise,0.041811846689895474
2001-06-07,gwb,positive,0.25435540069686413
2001-06-07,gwb,negative,0.11498257839721254
2001-06-07,gwb,sadness,0.10104529616724739
2001-06-07,gwb,disgust,0.003484320557491289
2001-06-07,gwb,joy,0.11149825783972125
2001-06-07,gwb,anticipation,0.14634146341463414
2001-08-09,gwb,fear,0.15723270440251572
2001-08-09,gwb,anger,0.06289308176100629
2001-08-09,gwb,trust,0.12578616352201258
2001-08-09,gwb,surprise,0.012578616352201259
2001-08-09,gwb,positive,0.2578616352201258
2001-08-09,gwb,negative,0.12578616352201258
2001-08-09,gwb,sadness,0.05660377358490566
2001-08-09,gwb,disgust,0.012578616352201259
2001-08-09,gwb,joy,0.07547169811320754
2001-08-09,gwb,anticipation,0.11320754716981132
2001-09-11,gwb,fear,0.1388888888888889
2001-09-11,gwb,anger,0.08333333333333333
2001-09-11,gwb,trust,0.11574074074074074
2001-09-11,gwb,surprise,0.046296296296296294
2001-09-11,gwb,positive,0.19907407407407407
2001-09-11,gwb,negative,0.1388888888888889
2001-09-11,gwb,sadness,0.09259259259259259
2001-09-11,gwb,disgust,0.05555555555555555
2001-09-11,gwb,joy,0.06018518518518518
2001-09-11,gwb,anticipation,0.06944444444444445
2001-09-20,gwb,fear,0.13130128956623682
2001-09-20,gwb,anger,0.08089097303634232
2001-09-20,gwb,trust,0.13716295427901523
2001-09-20,gwb,surprise,0.038686987104337635
2001-09-20,gwb,positive,0.19929660023446658
2001-09-20,gwb,negative,0.15474794841735054
2001-09-20,gwb,sadness,0.06447831184056271
