date,filepath,source,manual_topic
2004-07-28,./speeches/2004-07-28-DNCSpeech.txt,oba,multi
2008-06-04,./speeches/2008-06-04-ObamaNomination.txt,oba,multi
2008-11-05,./speeches/2008-11-05-ObamaElected.txt,oba,multi
2009-01-05,./speeches/2009-01-05-EconomyPlans.txt,oba,economy
2009-01-20,./speeches/2009-01-20-Inauguration.txt,oba,multi
2009-04-02,./speeches/2009-04-02-G20Speech.txt,oba,economy
2009-04-15,./speeches/2009-04-15-ANewFoundation.txt,oba,economy
2009-05-22,./speeches/2009-05-22-NationalSecurity.txt,oba,national security
2009-06-15,./speeches/2009-06-15-IranProtests.txt,oba,democracy
2009-07-15,./speeches/2009-07-15-AmericanGraduationInitiative.txt,oba,education
2009-09-24,./speeches/2009-09-24-UNSpeech.txt,oba,international relations
2009-10-09,./speeches/2009-10-09-NobelPeacePrize.txt,oba,international relations
2009-11-05,./speeches/2009-11-05-FortHoodShooting.txt,oba,shooting
2009-12-19,./speeches/2009-12-19-CopenhagenClimateConf.txt,oba,climate
2009-12-25,./speeches/2009-12-25-UnderwearBomber.txt,oba,terrorism
2010-01-12,./speeches/2010-01-12-HaitiEarthquake.txt,oba,natural disaster
2010-03-04,./speeches/2010-03-04-CallForHealthCareVote.txt,oba,health care
2010-03-24,./speeches/2010-03-24-AffordableCareAct.txt,oba,health care
2010-04-15,./speeches/2010-04-15-NASAFuture.txt,oba,science
2010-04-22,./speeches/2010-04-22-DeepwaterHorizon.txt,oba,natural disaster
2010-05-07,./speeches/2010-05-07-StockSelloff.txt,oba,economy
2010-07-15,./speeches/2010-07-15-DeepwaterCapped.txt,oba,natural disaster
2010-07-21,./speeches/2010-07-21-DoddFrank.txt,oba,economy
2010-07-26,./speeches/2010-07-26-Wikileaks.txt,oba,national security
2010-08-31,./speeches/2010-08-31-EndIraqWar.txt,oba,international relations
2010-11-02,./speeches/2010-11-02-MidtermElections.txt,oba,multi
2011-01-08,./speeches/2011-01-08-TucsonShooting.txt,oba,shooting
2011-01-26,./speeches/2011-01-26-StateOfTheUnion.txt,oba,multi
2011-01-31,./speeches/2011-01-31-EgyptProtests.txt,oba,democracy
2011-02-19,./speeches/2011-02-19-IntelCorp.txt,oba,education
2011-05-02,./speeches/2011-05-02-binLadenKilled.txt,oba,national security
2011-05-23,./speeches/2011-05-23-MissouriTornado.txt,oba,natural disaster
2011-06-23,./speeches/2011-06-23-AfghanistanPullout.txt,oba,international relations
2011-07-26,./speeches/2011-07-26-DebtCeiling.txt,oba,economy
2011-09-09,./speeches/2011-09-09-SpeechJobsAct.txt,oba,economy
2011-10-17,./speeches/2011-10-17-MLKDedication.txt,oba,civil rights
2011-11-17,./speeches/2011-11-17-AustraliaSpeech.txt,oba,international relations
