date,source,sentence,depth
2004-07-28,oba,"On behalf of the great state of Illinois, crossroads of a nation, Land of Lincoln, let me express my deepest gratitude for the privilege of addressing this convention.",8
2004-07-28,oba,"Tonight is a particular honor for me because, let’s face it, my presence on this stage is pretty unlikely.",5
2004-07-28,oba,"My father was a foreign student, born and raised in a small village in Kenya.",7
2004-07-28,oba,"He grew up herding goats, went to school in a tin-roof shack.",5
2004-07-28,oba,"His father -- my grandfather -- was a cook, a domestic servant to the British.",5
2004-07-28,oba,But my grandfather had larger dreams for his son.,3
2004-07-28,oba,"Through hard work and perseverance my father got a scholarship to study in a magical place, America, that shone as a beacon of freedom and opportunity to so many who had come before.",10
2004-07-28,oba,"While studying here, my father met my mother.",2
2004-07-28,oba,"She was born in a town on the other side of the world, in Kansas.",7
2004-07-28,oba,Her father worked on oil rigs and farms through most of the Depression.,5
2004-07-28,oba,"The day after Pearl Harbor my grandfather signed up for duty; joined Patton’s army, marched across Europe.",5
2004-07-28,oba,"Back home, my grandmother raised a baby and went to work on a bomber assembly line.",6
2004-07-28,oba,"After the war, they studied on the G.I.",3
2004-07-28,oba,"Bill, bought a house through F.H.A., and later moved west all the way to Hawaii in search of opportunity.",5
2004-07-28,oba,"And they, too, had big dreams for their daughter.",3
2004-07-28,oba,"A common dream, born of two continents.",4
2004-07-28,oba,"My parents shared not only an improbable love, they shared an abiding faith in the possibilities of this nation.",6
2004-07-28,oba,"They would give me an African name, Barack, or ”blessed,” believing that in a tolerant America your name is no barrier to success.",5
2004-07-28,oba,"They imagined -- They imagined me going to the best schools in the land, even though they weren’t rich, because in a generous America you don’t have to be rich to achieve your potential.",6
2004-07-28,oba,They're both passed away now.,1
2004-07-28,oba,"And yet, I know that on this night they look down on me with great pride.",4
2004-07-28,oba,"They stand here, and I stand here today, grateful for the diversity of my heritage, aware that my parents’ dreams live on in my two precious daughters.",7
2004-07-28,oba,"I stand here knowing that my story is part of the larger American story, that I owe a debt to all of those who came before me, and that, in no other country on earth, is my story even possible.",13
2004-07-28,oba,"Tonight, we gather to affirm the greatness of our Nation -- not because of the height of our skyscrapers, or the power of our military, or the size of our economy.",8
2004-07-28,oba,"Our pride is based on a very simple premise, summed up in a declaration made over two hundred years ago:

We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain inalienable rights, that among these are Life, Liberty and the pursuit of Happiness.",11
2004-07-28,oba,"That is the true genius of America, a faith -- a faith in simple dreams, an insistence on small miracles; that we can tuck in our children at night and know that they are fed and clothed and safe from harm; that we can say what we think, write what we think, without hearing a sudden knock on the door; that we can have an idea and start our own business without paying a bribe; that we can participate in the political process without fear of retribution, and that our votes will be counted -- at least most of the time.",10
2004-07-28,oba,"This year, in this election we are called to reaffirm our values and our commitments, to hold them against a hard reality and see how we're measuring up to the legacy of our forbearers and the promise of future generations.",10
2004-07-28,oba,"And fellow Americans, Democrats, Republicans, Independents, I say to you tonight: We have more work to do --  more work to do for the workers I met in Galesburg, Illinois, who are losing their union jobs at the Maytag plant that’s moving to Mexico, and now are having to compete with their own children for jobs that pay seven bucks an hour; more to do for the father that I met who was losing his job and choking back the tears, wondering how he would pay 4500 dollars a month for the drugs his son needs without the health benefits that he counted on; more to do for the young woman in East St. Louis, and thousands more like her, who has the grades, has the drive, has the will, but doesn’t have the money to go to college.",15
2004-07-28,oba,"Now, don’t get me wrong.",2
2004-07-28,oba,"The people I meet -- in small towns and big cities, in diners and office parks -- they don’t expect government to solve all their problems.",5
2004-07-28,oba,"They know they have to work hard to get ahead,  and they want to.",4
2004-07-28,oba,"Go into the collar counties around Chicago, and people will tell you they don’t want their tax money wasted, by a welfare agency or by the Pentagon.",7
2004-07-28,oba,"Go in -- Go into any inner city neighborhood, and folks will tell you that government alone can’t teach our kids to learn; they know that parents have to teach, that children can’t achieve unless we raise their expectations and turn off the television sets and eradicate the slander that says a black youth with a book is acting white.",11
2004-07-28,oba,They know those things.,2
2004-07-28,oba,People don’t expect -- People don't expect government to solve all their problems.,3
2004-07-28,oba,"But they sense, deep in their bones, that with just a slight change in priorities, we can make sure that every child in America has a decent shot at life, and that the doors of opportunity remain open to all.",7
2004-07-28,oba,They know we can do better.,2
2004-07-28,oba,And they want that choice.,2
2004-07-28,oba,"In this election, we offer that choice.",3
2004-07-28,oba,Our Party has chosen a man to lead us who embodies the best this country has to offer.,6
2004-07-28,oba,And that man is John Kerry.,2
2004-07-28,oba,"John Kerry understands the ideals of community, faith, and service because they’ve defined his life.",5
2004-07-28,oba,"From his heroic service to Vietnam, to his years as a prosecutor and lieutenant governor, through two decades in the United States Senate, he's devoted himself to this country.",6
2004-07-28,oba,"Again and again, we’ve seen him make tough choices when easier ones were available.",4
2004-07-28,oba,His values and his record affirm what is best in us.,3
2004-07-28,oba,"John Kerry believes in an America where hard work is rewarded; so instead of offering tax breaks to companies shipping jobs overseas, he offers them to companies creating jobs here at home.",6
2004-07-28,oba,John Kerry believes in an America where all Americans can afford the same health coverage our politicians in Washington have for themselves.,7
2004-07-28,oba,"John Kerry believes in energy independence, so we aren’t held hostage to the profits of oil companies, or the sabotage of foreign oil fields.",5
2004-07-28,oba,"John Kerry believes in the Constitutional freedoms that have made our country the envy of the world, and he will never sacrifice our basic liberties, nor use faith as a wedge to divide us.",7
2004-07-28,oba,"And John Kerry believes that in a dangerous world war must be an option sometimes, but it should never be the first option.",4
2004-07-28,oba,"You know, a while back -- awhile back I met a young man named Shamus in a V.F.W.",3
2004-07-28,oba,"Hall in East Moline, Illinois.",3
2004-07-28,oba,"He was a good-looking kid -- six two, six three, clear eyed, with an easy smile.",4
2004-07-28,oba,He told me he’d joined the Marines and was heading to Iraq the following week.,4
2004-07-28,oba,"And as I listened to him explain why he’d enlisted, the absolute faith he had in our country and its leaders, his devotion to duty and service, I thought this young man was all that any of us might ever hope for in a child.",7
2004-07-28,oba,"But then I asked myself, ""Are we serving Shamus as well as he is serving us?""",4
2004-07-28,oba,"I thought of the 900 men and women -- sons and daughters, husbands and wives, friends and neighbors, who won’t be returning to their own hometowns.",6
2004-07-28,oba,"I thought of the families I’ve met who were struggling to get by without a loved one’s full income, or whose loved ones had returned with a limb missing or nerves shattered, but still lacked long-term health benefits because they were Reservists.",8
2004-07-28,oba,"When we send our young men and women into harm’s way, we have a solemn obligation not to fudge the numbers or shade the truth about why they’re going, to care for their families while they’re gone, to tend to the soldiers upon their return, and to never ever go to war without enough troops to win the war, secure the peace, and earn the respect of the world.",8
2004-07-28,oba,Now -- Now let me be clear.,2
2004-07-28,oba,Let me be clear.,2
2004-07-28,oba,We have real enemies in the world.,3
2004-07-28,oba,These enemies must be found.,2
2004-07-28,oba,They must be pursued.,1
2004-07-28,oba,And they must be defeated.,1
2004-07-28,oba,John Kerry knows this.,2
2004-07-28,oba,"And just as Lieutenant Kerry did not hesitate to risk his life to protect the men who served with him in Vietnam, President Kerry will not hesitate one moment to use our military might to keep America safe and secure.",7
2004-07-28,oba,John Kerry believes in America.,2
2004-07-28,oba,"And he knows that it’s not enough for just some of us to prosper -- for alongside our famous individualism, there’s another ingredient in the American saga,  a belief that we’re all connected as one people.",7
2004-07-28,oba,"If there is a child on the south side of Chicago who can’t read, that matters to me, even if it’s not my child.",6
2004-07-28,oba,"If there is a senior citizen somewhere who can’t pay for their prescription drugs, and having to choose between medicine and the rent, that makes my life poorer, even if it’s not my grandparent.",9
2004-07-28,oba,"If there’s an Arab American family being rounded up without benefit of an attorney or due process, that threatens my civil liberties.",7
2004-07-28,oba,It is that fundamental belief -- It is that fundamental belief: I am my brother’s keeper.,5
2004-07-28,oba,I am my sister’s keeper -- that makes this country work.,4
2004-07-28,oba,It’s what allows us to pursue our individual dreams and yet still come together as one American family.,6
