date,source,sentence,depth
2008-06-03,gwb,"To Chairman Dean and my great friend Dick Durbin; and to all my fellow citizens of this great nation; With profound gratitude and great humility, I accept your nomination for the presidency of the United States.",6
2008-06-03,gwb,"Let me express my thanks to the historic slate of candidates who accompanied me on this journey, and especially the one who traveled the farthest – a champion for working Americans and an inspiration to my daughters and to yours -- Hillary Rodham Clinton.",9
2008-06-03,gwb,"To President Clinton, who last night made the case for change as only he can make it; to Ted Kennedy, who embodies the spirit of service; and to the next Vice President of the United States, Joe Biden, I thank you.",6
2008-06-03,gwb,"I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night.",9
2008-06-03,gwb,"To the love of my life, our next First Lady, Michelle Obama, and to Sasha and Malia – I love you so much, and I'm so proud of all of you.",6
2008-06-03,gwb,"Four years ago, I stood before you and told you my story – of the brief union between a young man from Kenya and a young woman from Kansas who weren't well-off or well-known, but shared a belief that in America, their son could achieve whatever he put his mind to.",11
2008-06-03,gwb,"It is that promise that has always set this country apart – that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well.",7
2008-06-03,gwb,That's why I stand here tonight.,2
2008-06-03,gwb,"Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women – students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive.",6
2008-06-03,gwb,"We meet at one of those defining moments – a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more.",7
2008-06-03,gwb,"Tonight, more Americans are out of work and more are working harder for less.",3
2008-06-03,gwb,More of you have lost your homes and even more are watching your home values plummet.,4
2008-06-03,gwb,"More of you have cars you can't afford to drive, credit card bills you can't afford to pay, and tuition that's beyond your reach.",4
2008-06-03,gwb,These challenges are not all of government's making.,5
2008-06-03,gwb,But the failure to respond is a direct result of a broken politics in Washington and the failed policies of George W. Bush.,7
2008-06-03,gwb,"America, we are better than these last eight years.",4
2008-06-03,gwb,We are a better country than this.,3
2008-06-03,gwb,"This country is more decent than one where a woman in Ohio, on the brink of retirement, finds herself one illness away from disaster after a lifetime of hard work.",9
2008-06-03,gwb,"This country is more generous than one where a man in Indiana has to pack up the equipment he's worked on for twenty years and watch it shipped off to China, and then chokes up as he explains how he felt like a failure when he went home to tell his family the news.",10
2008-06-03,gwb,We are more compassionate than a government that lets veterans sleep on our streets and families slide into poverty; that sits on its hands while a major American city drowns before our eyes.,9
2008-06-03,gwb,"Tonight, I say to the American people, to Democrats and Republicans and Independents across this great land – enough!",4
2008-06-03,gwb,"This moment – this election – is our chance to keep, in the 21st century, the American promise alive.",5
2008-06-03,gwb,"Because next week, in Minnesota, the same party that brought you two terms of George Bush and Dick Cheney will ask this country for a third.",7
2008-06-03,gwb,And we are here because we love this country too much to let the next four years look like the last eight.,4
2008-06-03,gwb,"On November 4th, we must stand up and say: ""Eight is enough.""",3
2008-06-03,gwb,Now let there be no doubt.,3
2008-06-03,gwb,"The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect.",4
2008-06-03,gwb,"And next week, we'll also hear about those occasions when he's broken with his party as evidence that he can deliver the change that we need.",7
2008-06-03,gwb,But the record's clear: John McCain has voted with George Bush ninety percent of the time.,4
2008-06-03,gwb,"Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time?",7
2008-06-03,gwb,"I don't know about you, but I'm not ready to take a ten percent chance on change.",6
2008-06-03,gwb,"The truth is, on issue after issue that would make a difference in your lives – on health care and education and the economy – Senator McCain has been anything but independent.",10
2008-06-03,gwb,"He said that our economy has made ""great progress"" under this President.",4
2008-06-03,gwb,He said that the fundamentals of the economy are strong.,5
2008-06-03,gwb,"And when one of his chief advisors – the man who wrote his economic plan – was talking about the anxiety Americans are feeling, he said that we were just suffering from a ""mental recession,"" and that we've become, and I quote, ""a nation of whiners.""",8
2008-06-03,gwb,A nation of whiners?,2
2008-06-03,gwb,"Tell that to the proud auto workers at a Michigan plant who, after they found out it was closing, kept showing up every day and working as hard as ever, because they knew there were people who counted on the brakes that they made.",9
2008-06-03,gwb,Tell that to the military families who shoulder their burdens silently as they watch their loved ones leave for their third or fourth or fifth tour of duty.,6
2008-06-03,gwb,These are not whiners.,1
2008-06-03,gwb,They work hard and give back and keep going without complaint.,5
2008-06-03,gwb,These are the Americans that I know.,3
2008-06-03,gwb,"Now, I don't believe that Senator McCain doesn't care what's going on in the lives of Americans.",6
2008-06-03,gwb,I just think he doesn't know.,2
2008-06-03,gwb,Why else would he define middle-class as someone making under five million dollars a year?,6
2008-06-03,gwb,How else could he propose hundreds of billions in tax breaks for big corporations and oil companies but not one penny of tax relief to more than one hundred million Americans?,7
2008-06-03,gwb,"How else could he offer a health care plan that would actually tax people's benefits, or an education plan that would do nothing to help families pay for college, or a plan that would privatize Social Security and gamble your retirement?",7
2008-06-03,gwb,It's not because John McCain doesn't care.,3
2008-06-03,gwb,It's because John McCain doesn't get it.,3
2008-06-03,gwb,"For over two decades, he's subscribed to that old, discredited Republican philosophy – give more and more to those with the most and hope that prosperity trickles down to everyone else.",7
2008-06-03,gwb,"In Washington, they call this the Ownership Society, but what it really means is – you're on your own.",5
2008-06-03,gwb,Out of work?,2
2008-06-03,gwb,Tough luck.,1
2008-06-03,gwb,No health care?,1
2008-06-03,gwb,The market will fix it.,2
2008-06-03,gwb,Born into poverty?,2
2008-06-03,gwb,Pull yourself up by your own bootstraps – even if you don't have boots.,3
2008-06-03,gwb,You're on your own.,3
2008-06-03,gwb,Well it's time for them to own their failure.,4
2008-06-03,gwb,It's time for us to change America.,3
2008-06-03,gwb,"You see, we Democrats have a very different measure of what constitutes progress in this country.",7
2008-06-03,gwb,We measure progress by how many people can find a job that pays the mortgage; whether you can put a little extra money away at the end of each month so you can someday watch your child receive her college diploma.,7
2008-06-03,gwb,"We measure progress in the 23 million new jobs that were created when Bill Clinton was President – when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush.",12
2008-06-03,gwb,"We measure the strength of our economy not by the number of billionaires we have or the profits of the Fortune 500, but by whether someone with a good idea can take a risk and start a new business, or whether the waitress who lives on tips can take a day off to look after a sick kid without losing her job – an economy that honors the dignity of work.",17
2008-06-03,gwb,The fundamentals we use to measure economic strength are whether we are living up to that fundamental promise that has made this country great – a promise that is the only reason I am standing here tonight.,9
2008-06-03,gwb,"Because in the faces of those young veterans who come back from Iraq and Afghanistan, I see my grandfather, who signed up after Pearl Harbor, marched in Patton's Army, and was rewarded by a grateful nation with the chance to go to college on the GI Bill.",9
2008-06-03,gwb,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships.",9
2008-06-03,gwb,"When I listen to another worker tell me that his factory has shut down, I remember all those men and women on the South Side of Chicago who I stood by and fought for two decades ago after the local steel plant closed.",7
2008-06-03,gwb,"And when I hear a woman talk about the difficulties of starting her own business, I think about my grandmother, who worked her way up from the secretarial pool to middle-management, despite years of being passed over for promotions because she was a woman.",8
2008-06-03,gwb,She's the one who taught me about hard work.,5
2008-06-03,gwb,She's the one who put off buying a new car or a new dress for herself so that I could have a better life.,7
2008-06-03,gwb,She poured everything she had into me.,4
2008-06-03,gwb,"And although she can no longer travel, I know that she's watching tonight, and that tonight is her night as well.",5
