date,speech
27/09/2008,DataUCSB/address-accepting-the-presidential-nomination-the-democratic-national-convention-denver.txt
20/01/2009,DataUCSB/inaugural-address-5.txt
22/01/2009,DataUCSB/executive-order-13491-ensuring-lawful-interrogations.txt
22/01/2009,DataUCSB/executive-order-13492-review-and-disposition-individuals-detained-the-guantanamo-bay-naval.txt
29/01/2009,DataUCSB/remarks-signing-the-lilly-ledbetter-fair-pay-act-2009.txt
04/02/2009,DataUCSB/press-release-treasury-announces-new-restrictions-executive-compensation.txt
17/02/2009,DataUCSB/statement-signing-the-american-recovery-and-reinvestment-act-2009.txt
24/02/2009,DataUCSB/address-before-joint-session-the-congress-1.txt
26/03/2009,DataUCSB/remarks-virtual-town-hall-meeting-and-question-and-answer-session.txt
16/04/2009,DataUCSB/statement-the-release-department-justice-office-legal-counsel-memos-concerning.txt
26/05/2009,DataUCSB/remarks-the-nomination-sonia-sotomayor-be-supreme-court-associate-justice.txt
04/06/2009,DataUCSB/remarks-cairo.txt
22/07/2009,DataUCSB/the-presidents-news-conference-1121.txt
09/09/2009,DataUCSB/address-before-joint-session-the-congress-health-care-reform.txt
09/10/2009,DataUCSB/remarks-winning-the-nobel-peace-prize.txt
28/10/2009,DataUCSB/remarks-the-enactment-the-matthew-shepard-and-james-byrd-jr-hate-crimes-prevention-act.txt
01/12/2009,DataUCSB/remarks-the-united-states-military-academy-west-point-new-york-1.txt
07/01/2010,DataUCSB/remarks-improving-homeland-security.txt
14/01/2010,DataUCSB/remarks-earthquake-relief-efforts-haiti-0.txt
27/01/2010,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-17.txt
23/03/2010,DataUCSB/remarks-signing-the-patient-protection-and-affordable-care-act.txt
08/04/2010,DataUCSB/remarks-signing-the-strategic-arms-reduction-treaty-with-president-dmitry-medvedev-russia.txt
20/04/2010,DataUCSB/statement-the-press-secretary-the-presidents-oval-office-meeting-discuss-the-situation-the.txt
10/05/2010,DataUCSB/remarks-the-nomination-solicitor-general-elena-kagan-be-supreme-court-associate-justice.txt
15/06/2010,DataUCSB/address-the-nation-the-oil-spill-the-gulf-mexico.txt
21/07/2010,DataUCSB/remarks-signing-the-dodd-frank-wall-street-reform-and-consumer-protection-act.txt
03/08/2010,DataUCSB/statement-the-press-secretary-hr-4861-hr-5051-hr-5099-and-s-1789.txt
05/10/2010,DataUCSB/statement-the-press-secretary-bills-signed-the-president-13.txt
02/11/2010,DataUCSB/house.html.txt
13/12/2010,DataUCSB/remarks-signing-the-healthy-hunger-free-kids-act-2010.txt
17/12/2010,DataUCSB/remarks-signing-the-tax-relief-unemployment-insurance-reauthorization-and-job-creation-act.txt
22/12/2010,DataUCSB/remarks-signing-the-dont-ask-dont-tell-repeal-act-2010.txt
08/01/2011,DataUCSB/remarks-the-shootings-tucson-arizona.txt
12/01/2011,DataUCSB/remarks-memorial-service-for-victims-the-shootings-tucson-arizona.txt
25/01/2011,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-16.txt
28/01/2011,DataUCSB/remarks-the-situation-egypt-0.txt
02/02/2011,DataUCSB/message-the-senate-the-strategic-arms-reduction-treaty.txt
23/02/2011,DataUCSB/remarks-the-situation-libya-0.txt
08/03/2011,DataUCSB/executive-order-13567-periodic-review-individuals-detained-guantanamo-bay-naval-station.txt
11/03/2011,DataUCSB/statement-the-earthquake-and-tsunami-japan-and-the-tsunami-warning-for-the-pacific.txt
28/03/2011,DataUCSB/address-the-nation-the-situation-libya.txt
27/04/2011,DataUCSB/press-gaggle-press-secretary-jay-carney-director-communications-dan-peeiffer-and-white.txt
01/05/2011,DataUCSB/remarks-the-death-al-qaida-terrorist-organization-leader-usama-bin-laden.txt
14/06/2011,DataUCSB/remarks-welcoming-ceremony-san-juan-puerto-rico.txt
22/06/2011,DataUCSB/address-the-nation-the-drawdown-united-states-military-personnel-afghanistan.txt
08/07/2011,DataUCSB/statement-the-launch-the-space-shuttle-atlantis.txt
02/08/2011,DataUCSB/remarks-the-federal-budget-1.txt
08/09/2011,DataUCSB/address-before-joint-session-the-congress-job-growth.txt
11/09/2011,DataUCSB/remarks-concert-for-hope-commemorating-the-10th-anniversary-the-september-11-terrorist.txt
11/10/2011,DataUCSB/statement-job-growth-legislation.txt
21/10/2011,DataUCSB/remarks-the-withdrawal-united-states-military-personnel-from-iraq.txt
06/12/2011,DataUCSB/remarks-osawatomie-high-school-osawatomie-kansas.txt
18/01/2012,DataUCSB/memorandum-implementing-provisions-the-temporary-payroll-tax-cut-continuation-act-2011.txt
24/01/2012,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-15.txt
05/02/2012,DataUCSB/executive-order-13599-blocking-property-the-government-iran-and-iranian-financial.txt
23/03/2012,DataUCSB/remarks-the-nomination-jim-yong-kim-be-president-the-world-bank-and-exchange-with.txt
25/03/2012,DataUCSB/remarks-the-opening-plenary-session-the-nuclear-security-summit-seoul-south-korea.txt
02/04/2012,DataUCSB/joint-statement-north-american-leaders.txt
04/04/2012,DataUCSB/remarks-signing-the-stop-trading-congressional-knowledge-act-2012.txt
06/04/2012,DataUCSB/remarks-the-white-house-forum-women-and-the-economy.txt
08/05/2012,DataUCSB/remarks-the-asian-pacific-american-institute-for-congressional-studies-annual-gala.txt
09/05/2012,DataUCSB/interview-with-robin-roberts-abc-news.txt
18/05/2012,DataUCSB/camp-david-declaration.txt
31/05/2012,DataUCSB/remarks-the-unveiling-the-official-portraits-former-president-george-w-bush-and-first-lady.txt
15/06/2012,DataUCSB/remarks-immigration-reform-and-exchange-with-reporters.txt
17/06/2012,DataUCSB/the-presidents-news-conference-los-cabos.txt
28/06/2012,DataUCSB/11-393.txt
06/09/2012,DataUCSB/address-accepting-the-presidential-nomination-the-democratic-national-convention-denver.txt
25/09/2012,DataUCSB/remarks-the-united-nations-general-assembly-new-york-city-12.txt
14/12/2012,DataUCSB/remarks-the-shootings-newtown-connecticut.txt
30/12/2012,DataUCSB/statement-the-press-secretary-hr-5949.txt
02/01/2013,DataUCSB/statement-the-press-secretary-hr-8.txt
16/01/2013,DataUCSB/remarks-gun-violence-2.txt
21/01/2013,DataUCSB/inaugural-address-15.txt
29/01/2013,DataUCSB/remarks-del-sol-high-school-las-vegas-nevada-0.txt
12/02/2013,DataUCSB/address-before-joint-session-congress-the-state-the-union-2.txt
07/03/2013,DataUCSB/remarks-signing-the-violence-against-women-reauthorization-act-2013.txt
18/04/2013,DataUCSB/remarks-the-terrorist-attack-boston-massachusetts.txt
23/05/2013,DataUCSB/remarks-national-defense-university.txt
25/06/2013,DataUCSB/statement-the-united-states-supreme-court-ruling-the-voting-rights-act.txt
25/06/2013,DataUCSB/remarks-georgetown-university-4.txt
26/06/2013,DataUCSB/12-307?_escaped_fragment_=&_escaped_fragment_=.txt
19/07/2013,DataUCSB/remarks-the-verdict-state-florida-v-george-zimmerman.txt
09/08/2013,DataUCSB/remarks-signing-the-bipartisan-student-loan-certainty-act-2013.txt
28/08/2013,DataUCSB/remarks-the-let-freedom-ring-ceremony-commemorating-the-50th-anniversary-the-march.txt
31/08/2013,DataUCSB/remarks-the-situation-syria-0.txt
24/09/2013,DataUCSB/remarks-the-united-nations-general-assembly-new-york-city-11.txt
01/10/2013,DataUCSB/remarks-the-federal-government-shutdown-and-the-patient-protection-and-affordable-care-act.txt
01/11/2013,DataUCSB/executive-order-13653-preparing-the-united-states-for-the-impacts-climate-change.txt
19/12/2013,DataUCSB/statement-clemency.txt
28/01/2014,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-21.txt
12/02/2014,DataUCSB/executive-order-13658-establishing-minimum-wage-for-contractors.txt
06/03/2014,DataUCSB/remarks-the-situation-ukraine-2.txt
23/06/2014,DataUCSB/12-1146.txt
26/06/2014,DataUCSB/12-1281.txt
30/06/2014,DataUCSB/13-354.txt
21/07/2014,DataUCSB/remarks-signing-executive-order-lesbian-gay-bisexual-and-transgender-employment.txt
10/09/2014,DataUCSB/fact-sheet-strategy-counter-the-islamic-state-iraq-and-the-levant-isil.txt
15/10/2014,DataUCSB/remarks-the-united-states-response-the-ebola-epidemic-west-africa-0.txt
08/11/2014,DataUCSB/remarks-the-nomination-loretta-e-lynch-be-attorney-general-and-exchange-with-reporters.txt
10/11/2014,DataUCSB/statement-internet-neutrality.txt
19/11/2014,DataUCSB/remarks-signing-the-child-care-and-development-block-grant-act-2014.txt
20/11/2014,DataUCSB/address-the-nation-immigration-reform-0.txt
17/12/2014,DataUCSB/address-the-nation-united-states-policy-toward-cuba.txt
07/01/2015,DataUCSB/statement-the-terrorist-attack-paris-france.txt
20/01/2015,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-20.txt
19/02/2015,DataUCSB/remarks-the-white-house-summit-countering-violent-extremism-0.txt
07/03/2015,DataUCSB/remarks-commemorating-the-50th-anniversary-the-selma-montgomery-marches-for-voting-rights.txt
26/06/2015,DataUCSB/eulogy-the-funeral-service-for-pastor-clementa-c-pinckney-the-emanuel-african-methodist.txt
26/06/2015,DataUCSB/remarks-the-united-states-supreme-court-ruling-same-sex-marriage.txt
01/07/2015,DataUCSB/remarks-the-reestablishment-diplomatic-relations-and-permanent-diplomatic-missions-the.txt
14/07/2015,DataUCSB/remarks-the-multilateral-agreement-prevent-iran-from-developing-nuclear-weapon.txt
03/08/2015,DataUCSB/remarks-announcing-the-environmental-protection-agencys-clean-power-plan.txt
06/08/2015,DataUCSB/remarks-the-50th-anniversary-the-voting-rights-act.txt
30/08/2015,DataUCSB/remarks-kotzebue-middle-high-school-kotzebue-alaska.txt
23/09/2015,DataUCSB/remarks-welcoming-ceremony-for-pope-francis.txt
28/09/2015,DataUCSB/remarks-the-united-nations-general-assembly-new-york-city-9.txt
06/11/2015,DataUCSB/remarks-the-keystone-xl-pipeline-project.txt
18/11/2015,DataUCSB/joint-statement-trans-pacific-partnership-leaders-statement.txt
30/11/2015,DataUCSB/remarks-the-first-session-the-united-nations-climate-change-conference-le-bourget-france.txt
06/12/2015,DataUCSB/address-the-nation-united-states-counterterrorism-strategy.txt
04/01/2016,DataUCSB/remarks-gun-violence.txt
12/01/2016,DataUCSB/address-before-joint-session-the-congress-the-state-the-union-19.txt
17/01/2016,DataUCSB/remarks-iran.txt
13/02/2016,DataUCSB/remarks-the-death-supreme-court-associate-justice-antonin-g-scalia-rancho-mirage.txt
16/03/2016,DataUCSB/statement-the-selection-nominee-for-united-states-supreme-court-associate-justice.txt
20/03/2016,DataUCSB/remarks-united-states-embassy-personnel-and-their-families-havana-cuba.txt
24/04/2016,DataUCSB/the-presidents-news-conference-with-chancellor-angela-merkel-germany-hannover-germany.txt
04/05/2016,DataUCSB/remarks-flint-michigan.txt
16/06/2016,DataUCSB/remarks-orlando-florida-3.txt
23/06/2016,DataUCSB/remarks-the-supreme-courts-decisions-regarding-affirmative-action-and-immigration-and.txt
24/06/2016,DataUCSB/proclamation-9465-establishment-the-stonewall-national-monument.txt
27/06/2016,DataUCSB/statement-the-supreme-courts-decision-whole-womans-health-v-hellerstedt.txt
20/09/2016,DataUCSB/remarks-the-united-nations-general-assembly-new-york-city-8.txt
24/09/2016,DataUCSB/remarks-the-dedication-ceremony-for-the-national-museum-african-american-history-and.txt
07/12/2016,DataUCSB/statement-the-75th-anniversary-the-attack-pearl-harbor.txt
10/01/2017,DataUCSB/farewell-address-the-nation-from-chicago-illinois.txt
